sample,fastq_1,fastq_2,condition,replicate,time,group,reference_group
highN4A1,input/fastq/4A1_S25_L001_R1_001.fastq.gz,,CL_N2,1,0,4,4
highN4A2,input/fastq/4A2_S26_L001_R1_001.fastq.gz,,CL_N2,1,3.7,5,4
highN4A3,input/fastq/4A3_S27_L001_R1_001.fastq.gz,,CL_N2,1,8.6,6,4
highN4A4,input/fastq/4A4_S28_L001_R1_001.fastq.gz,,CL_N2,1,10.1,7,4
highN4A5,input/fastq/4A5_S29_L001_R1_001.fastq.gz,,CL_N2,2,0,4,4
highN4A6,input/fastq/4A6_S30_L001_R1_001.fastq.gz,,CL_N2,2,3.7,5,4
highN4A7,input/fastq/4A7_S31_L001_R1_001.fastq.gz,,CL_N2,2,8.6,6,4
highN4A8,input/fastq/4A8_S32_L001_R1_001.fastq.gz,,CL_N2,2,10.1,7,4
highN4B1,input/fastq/4B1_S33_L001_R1_001.fastq.gz,,CL_N2,3,10.1,7,4
highN4B2,input/fastq/4B2_S34_L001_R1_001.fastq.gz,,CL_N2,3,8.6,6,4
highN4B3,input/fastq/4B3_S35_L001_R1_001.fastq.gz,,CL_N2,3,3.7,5,4
highN4B4,input/fastq/4B4_S36_L001_R1_001.fastq.gz,,CL_N2,3,0,4,4
highN4B5,input/fastq/4B5_S37_L001_R1_001.fastq.gz,,CL_N2,4,10.1,7,4
highN4B6,input/fastq/4B6_S38_L001_R1_001.fastq.gz,,CL_N2,4,8.6,6,4
highN4B7,input/fastq/4B7_S39_L001_R1_001.fastq.gz,,CL_N2,4,3.7,5,4
highN4B8,input/fastq/4B8_S40_L001_R1_001.fastq.gz,,CL_N2,4,0,4,4
highN4C1,input/fastq/4C1_S41_L001_R1_001.fastq.gz,,CL_N2,5,3.7,5,4
highN4C2,input/fastq/4C2_S42_L001_R1_001.fastq.gz,,CL_N2,5,10.1,7,4
highN4C3,input/fastq/4C3_S43_L001_R1_001.fastq.gz,,CL_N2,5,0,4,4
highN4C4,input/fastq/4C4_S44_L001_R1_001.fastq.gz,,CL_N2,5,8.6,6,4
highN4C5,input/fastq/4C5_S45_L001_R1_001.fastq.gz,,CL_N2,6,3.7,5,4
highN4C6,input/fastq/4C6_S46_L001_R1_001.fastq.gz,,CL_N2,6,10.1,7,4
highN4C7,input/fastq/4C7_S47_L001_R1_001.fastq.gz,,CL_N2,6,0,4,4
highN4C8,input/fastq/4C8_S48_L001_R1_001.fastq.gz,,CL_N2,6,8.6,6,4
highN4D1,input/fastq/4D1_S49_L001_R1_001.fastq.gz,,CL_N2,7,8.6,6,4
highN4D2,input/fastq/4D2_S50_L001_R1_001.fastq.gz,,CL_N2,7,0,4,4
highN4D3,input/fastq/4D3_S51_L001_R1_001.fastq.gz,,CL_N2,7,10.1,7,4
highN4D4,input/fastq/4D4_S52_L001_R1_001.fastq.gz,,CL_N2,7,3.7,5,4
highN4D5,input/fastq/4D5_S53_L001_R1_001.fastq.gz,,CL_N2,8,3.7,5,4
highN4D6,input/fastq/4D6_S54_L001_R1_001.fastq.gz,,CL_N2,8,0,4,4
LD1A1,input/fastq/1A1_S33_L001_R1_001.fastq.gz,,LD,1,0,8,8
LD1A2,input/fastq/1A2_S34_L001_R1_001.fastq.gz,,LD,1,5.4,9,8
LD1A3,input/fastq/1A3_S35_L001_R1_001.fastq.gz,,LD,1,6.4,10,8
LD1A4,input/fastq/1A4_S36_L001_R1_001.fastq.gz,,LD,1,7.7,11,8
LD1A5,input/fastq/1A5_S37_L001_R1_001.fastq.gz,,LD,1,10.3,12,8
LD1A6,input/fastq/1A6_S38_L001_R1_001.fastq.gz,,LD,2,0,8,8
LD1A7,input/fastq/1A7_S39_L001_R1_001.fastq.gz,,LD,2,5.4,9,8
LD1B3,input/fastq/1B3_S42_L001_R1_001.fastq.gz,,LD,3,0,8,8
LD1B2,input/fastq/1B2_S41_L001_R1_001.fastq.gz,,LD,3,5.4,9,8
